,c_nf_per_km,df,from_bus,g_us_per_km,in_service,length_km,max_i_ka,max_loading_percent,name,parallel,r_ohm_per_km,std_type,to_bus,type,x_ohm_per_km
0,803.8128438984613,1.0,0,0.0,True,1.0,99999.0,100.0,,1,3.345408,,1,ol,10.0188
1,621.128106648811,1.0,0,0.0,True,1.0,99999.0,100.0,,1,7.875648,,2,ol,28.784448
2,560.233194232261,1.0,1,0.0,True,1.0,99999.0,100.0,,1,9.93168,,3,ol,30.265488
3,127.87931607475522,1.0,2,0.0,True,1.0,99999.0,100.0,,1,2.299968,,3,ol,6.603696
4,636.3518347529484,1.0,1,0.0,True,1.0,99999.0,100.0,,1,8.224128,,4,ol,34.55179200000001
5,569.3674310947436,1.0,1,0.0,True,1.0,99999.0,100.0,,1,10.123344,,5,ol,30.718512
6,137.01355293723773,1.0,3,0.0,True,1.0,99999.0,100.0,,1,2.073456,,5,ol,7.213536
7,310.5640533244055,1.0,4,0.0,True,1.0,99999.0,100.0,,1,8.01504,,6,ol,20.21184
8,258.803377770338,1.0,5,0.0,True,1.0,99999.0,100.0,,1,4.652208,,6,ol,14.28768
9,137.01355293723773,1.0,5,0.0,True,1.0,99999.0,100.0,,1,2.09088,,7,ol,7.31808
10,0.0,1.0,11,0.0,True,1.0,99999.0,100.0,,1,1.340559,,13,ol,2.786751
11,0.0,1.0,11,0.0,True,1.0,99999.0,100.0,,1,0.720918,,14,ol,1.420056
12,0.0,1.0,11,0.0,True,1.0,99999.0,100.0,,1,1.029105,,15,ol,2.163843
13,0.0,1.0,13,0.0,True,1.0,99999.0,100.0,,1,2.40669,,14,ol,2.174733
14,0.0,1.0,15,0.0,True,1.0,99999.0,100.0,,1,0.570636,,16,ol,2.094147
15,0.0,1.0,14,0.0,True,1.0,99999.0,100.0,,1,1.168497,,17,ol,2.379465
16,0.0,1.0,17,0.0,True,1.0,99999.0,100.0,,1,0.695871,,18,ol,1.406988
17,0.0,1.0,18,0.0,True,1.0,99999.0,100.0,,1,0.37026,,19,ol,0.74052
18,0.0,1.0,9,0.0,True,1.0,99999.0,100.0,,1,1.019304,,19,ol,2.27601
19,0.0,1.0,9,0.0,True,1.0,99999.0,100.0,,1,0.352836,,16,ol,0.920205
20,0.0,1.0,9,0.0,True,1.0,99999.0,100.0,,1,0.378972,,20,ol,0.815661
21,0.0,1.0,9,0.0,True,1.0,99999.0,100.0,,1,0.791703,,21,ol,1.632411
22,0.0,1.0,20,0.0,True,1.0,99999.0,100.0,,1,0.126324,,21,ol,0.257004
23,0.0,1.0,14,0.0,True,1.0,99999.0,100.0,,1,1.089,,22,ol,2.19978
24,0.0,1.0,21,0.0,True,1.0,99999.0,100.0,,1,1.25235,,23,ol,1.94931
25,0.0,1.0,22,0.0,True,1.0,99999.0,100.0,,1,1.43748,,23,ol,2.9403
26,0.0,1.0,23,0.0,True,1.0,99999.0,100.0,,1,2.052765,,24,ol,3.584988
27,0.0,1.0,24,0.0,True,1.0,99999.0,100.0,,1,2.770416,,25,ol,4.1382
28,0.0,1.0,24,0.0,True,1.0,99999.0,100.0,,1,1.190277,,26,ol,2.272743
29,0.0,1.0,26,0.0,True,1.0,99999.0,100.0,,1,2.393622,,28,ol,4.522617
30,0.0,1.0,26,0.0,True,1.0,99999.0,100.0,,1,3.486978,,29,ol,6.563403
31,0.0,1.0,28,0.0,True,1.0,99999.0,100.0,,1,2.612511,,29,ol,4.936437
32,651.5755628570861,1.0,7,0.0,True,1.0,99999.0,100.0,,1,11.081664,,27,ol,34.84800000000001
33,197.90846535378782,1.0,5,0.0,True,1.0,99999.0,100.0,,1,2.944656,,27,ol,10.436976
